title,budget,revenue,popularity,vote_average,vote_count,runtime,primary_genre,season,release_year,ROI,investment_success,success_probability,investment_decision,budget_M,revenue_M
Avatar,237000000,2787965087,150.437577,7.2,11800,162.0,Action,Holiday,2009,11.763565767932489,1,96.8,Invest with confidence,237.0,2788.0
Pirates of the Caribbean: At World's End,300000000,961000000,139.082615,6.9,4500,169.0,Adventure,Spring,2007,3.203333333333333,1,96.6,Invest with confidence,300.0,961.0
Spectre,245000000,880674609,107.376788,6.3,4466,148.0,Action,Off-Season,2015,3.5945902408163266,1,95.2,Invest with confidence,245.0,880.7
The Dark Knight Rises,250000000,1084939099,112.31295,7.6,9106,165.0,Action,Summer,2012,4.339756396,1,96.7,Invest with confidence,250.0,1084.9
John Carter,260000000,284139100,43.926995,6.1,2124,132.0,Action,Spring,2012,1.0928426923076924,0,31.1,Do not invest,260.0,284.1
Spider-Man 3,258000000,890871626,115.699814,5.9,3576,139.0,Fantasy,Spring,2007,3.4529907984496124,1,96.2,Invest with confidence,258.0,890.9
Tangled,260000000,591794936,48.681969,7.4,3330,100.0,Animation,Holiday,2010,2.2761343692307694,1,98.2,Invest with confidence,260.0,591.8
Avengers: Age of Ultron,280000000,1405403694,134.279229,7.3,6767,141.0,Action,Spring,2015,5.019298907142857,1,96.0,Invest with confidence,280.0,1405.4
Harry Potter and the Half-Blood Prince,250000000,933959197,98.885637,7.4,5293,153.0,Adventure,Summer,2009,3.735836788,1,96.7,Invest with confidence,250.0,934.0
Batman v Superman: Dawn of Justice,250000000,873260194,155.790452,5.7,7004,151.0,Action,Spring,2016,3.493040776,1,96.0,Invest with confidence,250.0,873.3
Superman Returns,270000000,391081192,57.925623,5.4,1400,154.0,Adventure,Summer,2006,1.4484488592592593,0,36.9,Check the details,270.0,391.1
Quantum of Solace,200000000,586090727,107.928811,6.1,2965,106.0,Adventure,Off-Season,2008,2.930453635,1,92.7,Invest with confidence,200.0,586.1
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,145.847379,7.0,5246,151.0,Adventure,Summer,2006,5.32829906,1,96.7,Invest with confidence,200.0,1065.7
The Lone Ranger,255000000,89289910,49.046956,5.9,2311,149.0,Action,Summer,2013,0.35015650980392155,0,37.8,Check the details,255.0,89.3
Man of Steel,225000000,662845518,99.398009,6.5,6359,143.0,Action,Summer,2013,2.94598008,1,96.7,Invest with confidence,225.0,662.8
The Chronicles of Narnia: Prince Caspian,225000000,419651413,53.978602,6.3,1630,150.0,Adventure,Spring,2008,1.8651173911111112,0,39.6,Check the details,225.0,419.7
The Avengers,220000000,1519557910,144.448633,7.4,11776,143.0,Science Fiction,Spring,2012,6.907081409090909,1,95.7,Invest with confidence,220.0,1519.6
Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,135.413856,6.4,4948,136.0,Adventure,Spring,2011,2.7518784263157894,1,96.7,Invest with confidence,380.0,1045.7
Men in Black 3,225000000,624026776,52.035179,6.2,4160,106.0,Action,Spring,2012,2.773452337777778,1,95.8,Invest with confidence,225.0,624.0
The Hobbit: The Battle of the Five Armies,250000000,956019788,120.965743,7.1,4760,144.0,Action,Holiday,2014,3.824079152,1,96.8,Invest with confidence,250.0,956.0
The Amazing Spider-Man,215000000,752215857,89.866276,6.5,6586,136.0,Action,Summer,2012,3.4986784046511628,1,96.7,Invest with confidence,215.0,752.2
Robin Hood,200000000,310669540,37.668301,6.2,1398,140.0,Action,Spring,2010,1.5533477,0,32.6,Do not invest,200.0,310.7
The Hobbit: The Desolation of Smaug,250000000,958400000,94.370564,7.6,4524,161.0,Adventure,Holiday,2013,3.8336,1,97.3,Invest with confidence,250.0,958.4
The Golden Compass,180000000,372234864,42.990906,5.8,1303,113.0,Adventure,Holiday,2007,2.0679714666666666,1,41.9,Check the details,180.0,372.2
King Kong,207000000,550000000,61.22601,6.6,2337,187.0,Adventure,Holiday,2005,2.657004830917874,1,57.5,Invest with caution,207.0,550.0
Titanic,200000000,1845034188,100.025899,7.5,7562,194.0,Drama,Holiday,1997,9.22517094,1,90.3,Invest with confidence,200.0,1845.0
Captain America: Civil War,250000000,1153304495,198.372395,7.1,7241,147.0,Adventure,Spring,2016,4.61321798,1,96.6,Invest with confidence,250.0,1153.3
Battleship,209000000,303025485,64.928382,5.5,2114,131.0,Thriller,Spring,2012,1.4498827033492823,0,34.4,Do not invest,209.0,303.0
Jurassic World,150000000,1513528810,418.708552,6.5,8662,124.0,Action,Summer,2015,10.090192066666667,1,96.7,Invest with confidence,150.0,1513.5
Skyfall,200000000,1108561013,93.004993,6.9,7604,143.0,Action,Off-Season,2012,5.542805065,1,95.1,Invest with confidence,200.0,1108.6
Spider-Man 2,200000000,783766341,35.149586,6.7,4321,127.0,Action,Summer,2004,3.918831705,1,96.4,Invest with confidence,200.0,783.8
Iron Man 3,200000000,1215439994,77.68208,6.8,8806,130.0,Action,Spring,2013,6.07719997,1,96.0,Invest with confidence,200.0,1215.4
Alice in Wonderland,200000000,1025491110,78.530105,6.4,4645,108.0,Family,Spring,2010,5.12745555,1,97.0,Invest with confidence,200.0,1025.5
X-Men: The Last Stand,210000000,459359555,3.857526,6.3,3525,104.0,Adventure,Spring,2006,2.1874264523809526,1,97.4,Invest with confidence,210.0,459.4
Monsters University,200000000,743559607,89.186492,7.0,3528,104.0,Animation,Summer,2013,3.717798035,1,98.2,Invest with confidence,200.0,743.6
Transformers: Revenge of the Fallen,150000000,836297228,21.939663,6.0,3138,150.0,Science Fiction,Summer,2009,5.575314853333333,1,95.0,Invest with confidence,150.0,836.3
Transformers: Age of Extinction,210000000,1091405097,116.840296,5.8,3095,165.0,Science Fiction,Summer,2014,5.1971671285714285,1,94.9,Invest with confidence,210.0,1091.4
Oz: The Great and Powerful,200000000,491868548,46.985445,5.7,3530,130.0,Fantasy,Spring,2013,2.45934274,1,96.4,Invest with confidence,200.0,491.9
The Amazing Spider-Man 2,200000000,705717432,89.270217,6.5,4179,142.0,Action,Spring,2014,3.52858716,1,96.0,Invest with confidence,200.0,705.7
TRON: Legacy,170000000,400062763,73.79505,6.3,2841,125.0,Adventure,Holiday,2010,2.3533103705882352,1,95.1,Invest with confidence,170.0,400.1
Cars 2,200000000,559852396,49.98659,5.8,2033,106.0,Animation,Summer,2011,2.79926198,1,54.2,Invest with caution,200.0,559.9
Green Lantern,200000000,219851172,51.872839,5.1,2487,114.0,Adventure,Summer,2011,1.09925586,0,27.9,Do not invest,200.0,219.9
Toy Story 3,200000000,1066969703,59.995418,7.6,4597,103.0,Animation,Summer,2010,5.334848515,1,98.0,Invest with confidence,200.0,1067.0
Terminator Salvation,200000000,371353001,71.862892,5.9,2463,115.0,Action,Spring,2009,1.856765005,0,68.0,Invest with caution,200.0,371.4
Furious 7,190000000,1506249360,102.322217,7.3,4176,137.0,Action,Spring,2015,7.927628210526316,1,96.0,Invest with confidence,190.0,1506.2
World War Z,200000000,531865000,81.834855,6.7,5560,116.0,Action,Summer,2013,2.659325,1,96.7,Invest with confidence,200.0,531.9
X-Men: Days of Future Past,250000000,747862775,118.078691,7.5,6032,131.0,Action,Spring,2014,2.9914511,1,96.0,Invest with confidence,250.0,747.9
Star Trek Into Darkness,190000000,467365246,78.291018,7.4,4418,132.0,Action,Spring,2013,2.4598170842105263,1,96.0,Invest with confidence,190.0,467.4
Jack the Giant Slayer,195000000,197687603,43.349855,5.5,2598,114.0,Action,Off-Season,2013,1.0137825794871795,0,56.9,Invest with caution,195.0,197.7
The Great Gatsby,105000000,351040419,61.196071,7.3,3769,143.0,Drama,Spring,2013,3.3432420857142855,1,95.5,Invest with confidence,105.0,351.0
Prince of Persia: The Sands of Time,150000000,335154643,62.169881,6.2,2317,116.0,Adventure,Spring,2010,2.2343642866666666,1,66.8,Invest with caution,150.0,335.2
Pacific Rim,180000000,407602906,56.523205,6.7,4794,131.0,Action,Summer,2013,2.264460588888889,1,96.8,Invest with confidence,180.0,407.6
Transformers: Dark of the Moon,195000000,1123746996,28.529607,6.1,3299,154.0,Action,Summer,2011,5.762805107692308,1,96.3,Invest with confidence,195.0,1123.7
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,75.674458,5.7,2495,122.0,Adventure,Spring,2008,4.252086664864865,1,84.2,Invest with confidence,185.0,786.6
The Good Dinosaur,175000000,331926147,51.692953,6.6,1736,93.0,Adventure,Holiday,2015,1.89672084,0,54.1,Invest with caution,175.0,331.9
Brave,185000000,538983207,125.114374,6.7,4641,93.0,Animation,Summer,2012,2.9134227405405406,1,98.4,Invest with confidence,185.0,539.0
Star Trek Beyond,185000000,343471816,65.352913,6.6,2568,122.0,Action,Summer,2016,1.8566044108108108,0,62.5,Invest with caution,185.0,343.5
WALL·E,180000000,521311860,66.390712,7.8,6296,98.0,Animation,Summer,2008,2.896177,1,98.1,Invest with confidence,180.0,521.3
Rush Hour 3,140000000,258022233,22.57178,6.1,783,91.0,Action,Summer,2007,1.84301595,0,27.4,Do not invest,140.0,258.0
2012,200000000,769653595,45.274225,5.6,4903,158.0,Action,Off-Season,2009,3.848267975,1,95.6,Invest with confidence,200.0,769.7
A Christmas Carol,200000000,325233863,39.744242,6.6,1095,96.0,Animation,Holiday,2009,1.626169315,0,41.0,Check the details,200.0,325.2
Jupiter Ascending,176000003,183987723,85.36908,5.2,2768,124.0,Science Fiction,Off-Season,2015,1.0453847719536686,0,90.7,Invest with confidence,176.0,184.0
The Legend of Tarzan,180000000,356743061,42.741719,5.5,2430,109.0,Action,Summer,2016,1.9819058944444445,0,62.0,Invest with caution,180.0,356.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957,67.391328,6.7,2629,143.0,Adventure,Holiday,2005,4.16003865,1,95.1,Invest with confidence,180.0,748.8
X-Men: Apocalypse,178000000,543934787,139.272042,6.4,4721,144.0,Science Fiction,Spring,2016,3.0558134101123597,1,95.8,Invest with confidence,178.0,543.9
The Dark Knight,185000000,1004558444,187.322927,8.2,12002,152.0,Drama,Summer,2008,5.430045643243243,1,94.8,Invest with confidence,185.0,1004.6
Up,175000000,735099082,92.201962,7.7,6870,96.0,Animation,Spring,2009,4.200566182857143,1,98.3,Invest with confidence,175.0,735.1
Monsters vs Aliens,175000000,381509870,36.167578,6.0,1423,94.0,Animation,Spring,2009,2.1800564,1,61.7,Invest with caution,175.0,381.5
Iron Man,140000000,585174222,120.725053,7.4,8776,126.0,Action,Spring,2008,4.179815871428572,1,96.0,Invest with confidence,140.0,585.2
Hugo,170000000,185770160,32.319043,7.0,2141,126.0,Adventure,Holiday,2011,1.0927656470588236,0,48.6,Check the details,170.0,185.8
Wild Wild West,170000000,222104681,40.748915,5.1,1020,106.0,Action,Summer,1999,1.3064981235294117,0,18.6,Do not invest,170.0,222.1
The Mummy: Tomb of the Dragon Emperor,145000000,401128639,60.034162,5.2,1387,112.0,Adventure,Summer,2008,2.7664044068965516,1,57.8,Invest with caution,145.0,401.1
Suicide Squad,175000000,745000000,90.23792,5.9,7458,123.0,Action,Summer,2016,4.257142857142857,1,96.7,Invest with confidence,175.0,745.0
Evan Almighty,175000000,173000000,27.082182,5.3,1151,96.0,Fantasy,Summer,2007,0.9885714285714285,0,23.5,Do not invest,175.0,173.0
Edge of Tomorrow,178000000,370541256,79.456485,7.6,4858,113.0,Action,Spring,2014,2.081692449438202,1,96.5,Invest with confidence,178.0,370.5
Waterworld,175000000,264218220,44.640292,5.9,992,135.0,Adventure,Summer,1995,1.5098184,0,25.1,Do not invest,175.0,264.2
G.I. Joe: The Rise of Cobra,175000000,302469017,32.852443,5.6,1962,118.0,Adventure,Summer,2009,1.7283943828571429,0,43.9,Check the details,175.0,302.5
Inside Out,175000000,857611174,128.655964,8.0,6560,94.0,Drama,Summer,2015,4.90063528,1,98.1,Invest with confidence,175.0,857.6
The Jungle Book,175000000,966550600,94.199316,6.7,2892,106.0,Family,Spring,2016,5.523146285714286,1,94.2,Invest with confidence,175.0,966.6
Iron Man 2,200000000,623933331,77.300194,6.6,6849,124.0,Adventure,Spring,2010,3.119666655,1,96.6,Invest with confidence,200.0,623.9
Snow White and the Huntsman,170000000,396600000,77.178973,5.8,3118,127.0,Adventure,Spring,2012,2.3329411764705883,1,95.7,Invest with confidence,170.0,396.6
Maleficent,180000000,758539785,110.620647,7.0,4496,97.0,Fantasy,Spring,2014,4.214109916666667,1,97.8,Invest with confidence,180.0,758.5
Dawn of the Planet of the Apes,170000000,710644566,243.791743,7.3,4410,130.0,Science Fiction,Summer,2014,4.180262152941176,1,94.3,Invest with confidence,170.0,710.6
47 Ronin,175000000,150962475,41.796339,5.9,1326,119.0,Drama,Holiday,2013,0.8626427142857143,0,47.2,Check the details,175.0,151.0
Captain America: The Winter Soldier,170000000,714766572,72.225265,7.6,5764,136.0,Action,Spring,2014,4.204509247058824,1,96.1,Invest with confidence,170.0,714.8
